CoP X mean,CoP X median,CoP X standard deviation,CoP Y mean,CoP Y median,CoP Y standard deviation
-0.026119080209938778,-0.0345081,0.2269502719991328,5.058431472812388,4.97946,0.49756757693557024
-2.860075741911491,-2.83307,0.18521560775969179,4.700522588322796,4.70184,0.45255564797876474
-0.7277584418359668,-0.7256180000000001,0.11951217243690876,1.184996737020316,1.24553,0.38353270840354264
-1.7035781214080463,-1.69602,0.13404684007459147,3.46692866020115,3.43298,0.3024415996100215
1.061119537391958,1.06976,0.16287258877845148,3.4216023111612177,3.24102,0.713562137935808
-1.6558568661588682,-1.6598,0.14356796973384814,5.70565799056946,5.74849,0.35505428697925445
-0.006796813607764883,-0.07298065,0.4472075026883249,3.504733639332366,3.40605,0.9709598956272677
0.7766195863796859,0.83957,0.40790436919409073,-0.07518644658421629,-0.123921,0.9367430324825283
2.0678039803350328,2.06517,0.09634686252718559,3.600789668608886,3.56549,0.32114800021434853
1.6241908447024676,1.56974,0.3630830225629396,5.507435010885342,5.723694999999999,0.7417408147568721
-0.20871854814118507,-0.240204,0.32275836692982174,4.3547824177029995,4.45923,0.7408229595959088
