CoP X mean,CoP X median,CoP X standard deviation,CoP Y mean,CoP Y median,CoP Y standard deviation
0.7370572630393997,0.796831,0.1981069441570966,3.2394586153846157,3.27457,0.2997871493909245
0.8597229016578749,0.865474,0.08787447011724012,4.540366220798795,4.551175,0.24412921879895663
0.15270885309208032,0.157124,0.16076726313677533,4.720278071239106,4.63106,0.8462315952462307
-0.3344972528443114,-0.337358,0.0775215685119451,4.3391635067365275,4.308865000000001,0.2382224893242836
-0.1987110932549091,-0.210401,0.2484255692544863,1.6610469276363635,1.681535,0.5658343791752416
-0.805725515234375,-0.7784774999999999,0.3246193746653722,5.077644925595239,5.043455,0.4654074719502765
1.5770205298295452,1.62227,0.26362100435669483,3.4500174751420456,3.50734,0.49711395234154127
1.5933461515601783,1.57359,0.1926326031717649,1.6482262369985141,1.66776,0.21877610045682902
-0.7777770274480712,-0.776963,0.11053779107289816,2.703334681008902,2.707745,0.3437810291152848
0.7371046868686869,0.738828,0.10723077727455135,6.5881320202020195,6.70353,0.6537660717131993
-0.9984064253043158,-0.989473,0.1705802835143143,5.456000284028034,5.39893,0.3567347287602459
-1.1927328675665814,-1.20284,0.12050682100329747,3.979223480481576,4.042,0.29007304174731363
-0.1762088537463082,-0.181982,0.3739662465235906,6.716844702764105,6.68189,0.47889917149211086
0.8712019330575405,0.841191,0.20717581907843807,3.8350023241820232,3.95562,0.5445808402100337
0.6692643462132629,0.6632685,0.3989811786413628,6.49180486435569,6.51912,0.3825967084397042
0.2955968365651206,0.297412,0.12212979650161865,4.917105736549165,4.84922,0.5870195015098101
