CoP X mean,CoP X median,CoP X standard deviation,CoP Y mean,CoP Y median,CoP Y standard deviation
0.37849814813689625,1.406895,10.573552484149896,2.8786367726207907,2.9800050000000002,1.5253130310323044
1.8716084353554836,2.25789,8.28231102109,4.94396162200786,5.07138,0.9182112633910393
-0.954035181417151,-1.16635,9.270269526386341,3.3274470975290695,3.14412,1.506787768154403
0.2725607782389937,0.15935,7.018988756458815,5.479575123936367,5.56361,1.0007682747995907
-1.0023248258735795,-1.52902,10.191385711455514,4.562878568892045,4.6516,1.0703764338595532
-0.9171144700690718,-1.211265,9.249889326994012,7.517398541826554,7.48255,1.2846833376607372
0.60053106780289,0.507206,7.369257570886008,3.689606848091886,3.73518,0.9568573724929468
0.4512636933231707,0.444531,14.106510957321499,1.8899384822408538,2.03848,1.7061151021090843
1.1217418927949854,1.1305299999999998,9.510135468386984,4.743452658554573,4.726205,0.9455562081779187
0.6606390139659006,0.451459,7.010975322822119,5.017855363232023,5.114235,0.9787397350691089
1.1710707229405248,1.0226,10.858734835832257,1.5549684509530843,1.8423,1.3382613681673248
0.5747720397412864,0.360706,7.182100166666347,1.3089478510571326,1.28651,0.7866419372571559
2.107556117321016,2.35457,9.827021175478695,5.411213129330253,5.47879,1.4022035242668889
0.8322803595874713,2.06589,13.457027356369379,1.9301326610504201,1.84731,1.2756766686534413
1.1018981036377131,1.5063900000000001,12.670690733789694,-1.6531026387193766,-1.59405,1.761088680903328
-0.48462434882439387,-0.645423,12.67147094590439,1.3580715558739898,1.27577,1.4182497087033505
