time,wx (rad/s),wy (rad/s),wz (rad/s)
0.411743,0.08,0.02,-0.13
0.412106,0.09,0.01,-0.13
0.425952,0.10,0.00,-0.13
0.426680,0.10,-0.00,-0.13
0.427086,0.10,-0.01,-0.14
0.427449,0.11,-0.02,-0.14
0.427808,0.11,-0.04,-0.15
0.428165,0.12,-0.05,-0.15
0.428530,0.12,-0.06,-0.16
0.441418,0.11,-0.08,-0.17
0.442073,0.11,-0.08,-0.18
0.442499,0.11,-0.10,-0.19
0.442868,0.10,-0.10,-0.20
0.443231,0.10,-0.11,-0.21
0.443590,0.09,-0.12,-0.21
0.458046,0.09,-0.12,-0.22
0.458709,0.09,-0.13,-0.23
0.459105,0.08,-0.13,-0.25
0.459489,0.06,-0.14,-0.26
0.459859,0.04,-0.13,-0.28
0.460220,0.02,-0.14,-0.29
0.460583,-0.01,-0.15,-0.30
0.472791,-0.03,-0.15,-0.30
0.473445,-0.06,-0.15,-0.29
0.474184,-0.08,-0.13,-0.27
0.474599,-0.11,-0.13,-0.25
0.474971,-0.15,-0.20,-0.21
0.475342,-0.20,-0.26,-0.18
0.491700,-0.23,-0.30,-0.16
0.492218,-0.26,-0.31,-0.14
0.492613,-0.29,-0.31,-0.12
0.493277,-0.32,-0.30,-0.12
0.493768,-0.34,-0.29,-0.12
0.494132,-0.36,-0.27,-0.13
0.494495,-0.37,-0.25,-0.14
0.495223,-0.38,-0.24,-0.14
0.506934,-0.39,-0.23,-0.15
0.507523,-0.40,-0.23,-0.16
0.507915,-0.40,-0.24,-0.17
0.508296,-0.40,-0.27,-0.18
0.508669,-0.39,-0.30,-0.18
0.521406,-0.38,-0.34,-0.19
0.522261,-0.36,-0.40,-0.19
0.522672,-0.34,-0.45,-0.19
0.523066,-0.32,-0.50,-0.18
0.523451,-0.30,-0.54,-0.17
0.523843,-0.27,-0.57,-0.16
0.531296,-0.24,-0.60,-0.15
0.531653,-0.21,-0.62,-0.14
0.531967,-0.19,-0.65,-0.13
0.546674,-0.16,-0.66,-0.12
0.547204,-0.14,-0.65,-0.10
0.547601,-0.13,-0.61,-0.08
0.547881,-0.14,-0.55,-0.06
0.548111,-0.14,-0.48,-0.04
0.548332,-0.15,-0.43,-0.02
0.548580,-0.16,-0.41,0.00
0.552992,-0.16,-0.42,0.03
0.553352,-0.17,-0.43,0.06
0.554564,-0.17,-0.45,0.07
0.557148,-0.18,-0.47,0.09
0.559770,-0.19,-0.50,0.12
0.565927,-0.20,-0.54,0.15
0.566179,-0.20,-0.60,0.17
0.566722,-0.20,-0.67,0.21
0.569181,-0.20,-0.73,0.27
0.572120,-0.19,-0.77,0.32
0.574035,-0.20,-0.84,0.36
0.576573,-0.21,-0.93,0.38
0.583377,-0.22,-1.03,0.41
0.583724,-0.24,-1.14,0.42
0.583970,-0.26,-1.27,0.44
0.586502,-0.28,-1.39,0.45
0.589126,-0.31,-1.52,0.47
0.592090,-0.34,-1.66,0.49
0.602822,-0.38,-1.83,0.49
0.603289,-0.42,-1.97,0.49
0.603635,-0.46,-2.10,0.49
0.604101,-0.49,-2.21,0.52
0.604507,-0.51,-2.30,0.56
0.606483,-0.52,-2.37,0.59
0.608854,-0.52,-2.43,0.63
0.617526,-0.51,-2.48,0.66
0.618231,-0.50,-2.52,0.68
0.618657,-0.49,-2.57,0.69
0.619074,-0.47,-2.63,0.70
0.621109,-0.46,-2.67,0.71
0.623528,-0.45,-2.71,0.71
0.626283,-0.45,-2.72,0.72
0.639079,-0.44,-2.72,0.72
0.639625,-0.44,-2.72,0.73
0.639984,-0.44,-2.70,0.74
0.640476,-0.44,-2.67,0.74
0.640816,-0.45,-2.63,0.74
0.641152,-0.47,-2.60,0.75
0.643591,-0.49,-2.57,0.75
0.653989,-0.52,-2.53,0.74
0.654760,-0.55,-2.49,0.72
0.655248,-0.59,-2.47,0.71
0.655736,-0.62,-2.44,0.69
0.656180,-0.66,-2.42,0.67
0.658936,-0.70,-2.40,0.65
0.661463,-0.74,-2.39,0.63
0.671013,-0.78,-2.37,0.62
0.671544,-0.81,-2.35,0.62
0.672056,-0.85,-2.33,0.62
0.672493,-0.89,-2.31,0.62
0.672925,-0.93,-2.29,0.63
0.676098,-0.97,-2.28,0.63
0.687296,-1.01,-2.27,0.64
0.687949,-1.05,-2.27,0.65
0.688301,-1.09,-2.27,0.65
0.688636,-1.13,-2.27,0.65
0.688976,-1.16,-2.27,0.66
0.691339,-1.20,-2.27,0.67
0.693396,-1.23,-2.27,0.67
0.705150,-1.26,-2.28,0.67
0.705823,-1.28,-2.30,0.68
0.706262,-1.31,-2.32,0.69
0.706765,-1.33,-2.35,0.69
0.707108,-1.35,-2.37,0.69
0.707571,-1.36,-2.41,0.69
0.711203,-1.38,-2.46,0.69
0.722088,-1.40,-2.52,0.69
0.722687,-1.42,-2.58,0.69
0.723074,-1.43,-2.66,0.69
0.723572,-1.45,-2.74,0.70
0.724068,-1.46,-2.82,0.71
0.724935,-1.47,-2.91,0.72
0.739217,-1.48,-3.00,0.74
0.739952,-1.49,-3.09,0.76
0.740615,-1.49,-3.17,0.78
0.741056,-1.49,-3.25,0.80
0.741480,-1.49,-3.31,0.82
0.742016,-1.48,-3.35,0.85
0.742450,-1.48,-3.38,0.87
0.754160,-1.47,-3.40,0.89
0.754874,-1.46,-3.40,0.91
0.755232,-1.46,-3.39,0.93
0.755687,-1.46,-3.38,0.95
0.756038,-1.45,-3.35,0.97
0.757449,-1.45,-3.31,0.99
0.759581,-1.46,-3.27,1.00
0.770062,-1.47,-3.22,1.02
0.770760,-1.49,-3.16,1.03
0.771221,-1.51,-3.11,1.04
0.771648,-1.53,-3.06,1.06
0.772148,-1.55,-3.01,1.07
0.774882,-1.58,-2.96,1.08
0.793344,-1.60,-2.93,1.10
0.794570,-1.63,-2.90,1.12
0.795242,-1.65,-2.88,1.14
0.795784,-1.67,-2.87,1.16
0.796513,-1.69,-2.89,1.18
0.797004,-1.72,-2.91,1.20
0.797373,-1.74,-2.95,1.23
0.798151,-1.76,-3.00,1.27
0.798520,-1.74,-3.20,1.31
0.799242,-1.69,-3.46,1.35
0.804967,-1.64,-3.66,1.39
0.805538,-1.60,-3.84,1.43
0.806325,-1.56,-4.02,1.47
0.809279,-1.51,-4.17,1.49
0.821086,-1.48,-4.31,1.51
0.822008,-1.44,-4.44,1.51
0.822498,-1.41,-4.54,1.52
