time,wx (rad/s),wy (rad/s),wz (rad/s)
0.412517,0.07,0.00,-0.00
0.412912,0.08,-0.00,-0.01
0.413314,0.08,-0.01,-0.01
0.413715,0.09,-0.02,-0.01
0.415886,0.10,-0.03,-0.02
0.427550,0.10,-0.03,-0.02
0.428494,0.11,-0.04,-0.02
0.429000,0.11,-0.05,-0.02
0.429485,0.11,-0.06,-0.02
0.430232,0.11,-0.06,-0.03
0.430662,0.11,-0.07,-0.03
0.432058,0.11,-0.08,-0.03
0.451151,0.11,-0.08,-0.03
0.452418,0.11,-0.09,-0.03
0.452935,0.11,-0.09,-0.03
0.453354,0.10,-0.09,-0.03
0.453740,0.10,-0.09,-0.03
0.454398,0.09,-0.09,-0.03
0.454954,0.09,-0.09,-0.03
0.455356,0.08,-0.08,-0.03
0.455757,0.08,-0.09,-0.03
0.461485,0.07,-0.09,-0.03
0.462078,0.06,-0.09,-0.03
0.462457,0.05,-0.09,-0.03
0.470158,0.04,-0.09,-0.02
0.470673,0.03,-0.10,-0.03
0.470986,0.02,-0.10,-0.03
0.473664,0.01,-0.09,-0.02
0.474427,0.00,-0.09,-0.02
0.480207,-0.00,-0.08,-0.02
0.480524,-0.01,-0.07,-0.02
0.481219,-0.02,-0.06,-0.02
0.484353,-0.03,-0.05,-0.02
0.486351,-0.04,-0.05,-0.01
0.488716,-0.04,-0.04,-0.01
0.491172,-0.04,-0.03,-0.01
0.494409,-0.05,-0.03,-0.01
0.496116,-0.05,-0.03,-0.01
0.498642,-0.05,-0.02,-0.01
0.501054,-0.05,-0.02,-0.01
0.504477,-0.05,-0.02,-0.01
0.506712,-0.05,-0.02,-0.02
0.508758,-0.05,-0.02,-0.02
0.510932,-0.05,-0.02,-0.02
0.514149,-0.05,-0.03,-0.02
0.520442,-0.05,-0.04,-0.03
0.520906,-0.05,-0.05,-0.03
0.521248,-0.05,-0.05,-0.03
0.524048,-0.05,-0.06,-0.04
0.525896,-0.05,-0.07,-0.04
0.528416,-0.04,-0.07,-0.05
0.530682,-0.04,-0.07,-0.05
0.543488,-0.04,-0.07,-0.04
0.543986,-0.03,-0.06,-0.05
0.544322,-0.03,-0.06,-0.04
0.544636,-0.03,-0.05,-0.04
0.544984,-0.02,-0.04,-0.04
0.551554,-0.02,-0.03,-0.04
0.552004,-0.02,-0.02,-0.04
0.552326,-0.01,-0.02,-0.03
0.554188,-0.01,-0.01,-0.03
0.555894,-0.01,-0.01,-0.03
0.558554,-0.01,-0.01,-0.03
0.560410,-0.00,-0.02,-0.02
0.563208,0.00,-0.02,-0.02
0.565660,0.00,-0.02,-0.02
0.567951,0.01,-0.02,-0.02
0.571863,0.01,-0.02,-0.02
0.573442,0.01,-0.02,-0.02
0.575195,0.02,-0.02,-0.02
0.578162,0.02,-0.02,-0.02
0.580808,0.03,-0.02,-0.02
0.583389,0.03,-0.01,-0.02
0.585265,0.03,-0.01,-0.02
0.587580,0.04,-0.00,-0.02
0.590093,0.04,-0.00,-0.02
0.593200,0.05,-0.00,-0.02
0.594829,0.05,0.00,-0.02
0.597399,0.05,-0.00,-0.02
0.599843,0.05,-0.00,-0.02
0.602252,0.05,-0.01,-0.01
0.604909,0.06,-0.02,-0.02
0.607250,0.05,-0.02,-0.02
0.609660,0.05,-0.03,-0.01
0.613044,0.05,-0.04,-0.01
0.614784,0.05,-0.04,-0.01
0.620158,0.05,-0.05,-0.01
0.620685,0.05,-0.05,-0.01
0.622888,0.04,-0.06,-0.01
0.624639,0.04,-0.06,-0.01
0.627160,0.03,-0.05,-0.01
0.629729,0.03,-0.05,-0.01
0.633348,0.03,-0.05,-0.01
0.634530,0.03,-0.05,-0.01
0.637487,0.02,-0.05,-0.00
0.639730,0.01,-0.05,-0.00
0.641814,0.01,-0.05,-0.00
0.644480,0.00,-0.04,-0.00
0.647218,-0.00,-0.04,0.00
0.650268,-0.01,-0.04,-0.00
0.652734,-0.01,-0.04,-0.00
0.654512,-0.02,-0.04,-0.00
0.656734,-0.02,-0.03,-0.00
0.659973,-0.03,-0.03,-0.00
0.662218,-0.03,-0.03,-0.00
0.664161,-0.03,-0.03,-0.00
0.666875,-0.03,-0.03,-0.01
0.669374,-0.04,-0.04,-0.01
0.671761,-0.04,-0.03,-0.01
0.673968,-0.05,-0.04,-0.01
0.677218,-0.05,-0.03,-0.01
0.678833,-0.05,-0.03,-0.01
0.681440,-0.05,-0.03,-0.00
0.683915,-0.05,-0.03,-0.00
0.686286,-0.05,-0.04,-0.00
0.688810,-0.05,-0.04,-0.00
0.692053,-0.05,-0.04,-0.00
0.693635,-0.05,-0.05,0.00
0.696574,-0.05,-0.05,0.00
0.700963,-0.05,-0.05,0.01
0.701930,-0.05,-0.05,0.01
0.703723,-0.05,-0.06,0.01
0.706400,-0.05,-0.06,0.01
0.708690,-0.05,-0.06,0.02
0.711490,-0.05,-0.06,0.02
0.713417,-0.05,-0.06,0.01
0.719604,-0.04,-0.06,0.02
0.720059,-0.04,-0.06,0.01
0.720995,-0.04,-0.05,0.01
0.723375,-0.03,-0.05,0.01
0.726558,-0.03,-0.04,0.01
0.728297,-0.03,-0.04,0.01
0.731631,-0.02,-0.04,0.00
0.734274,-0.03,-0.04,0.00
0.735791,-0.02,-0.03,0.00
0.738304,-0.02,-0.03,-0.00
0.740628,-0.02,-0.03,-0.01
0.743193,-0.02,-0.03,-0.01
0.746253,-0.02,-0.03,-0.01
0.748215,-0.02,-0.04,-0.02
0.750956,-0.02,-0.04,-0.02
0.753121,-0.02,-0.04,-0.02
0.756263,-0.02,-0.05,-0.02
0.758327,-0.02,-0.05,-0.02
0.760510,-0.02,-0.05,-0.02
0.762841,-0.03,-0.04,-0.02
0.767132,-0.03,-0.04,-0.02
0.768458,-0.03,-0.04,-0.02
0.770860,-0.03,-0.04,-0.02
0.772783,-0.03,-0.04,-0.02
0.775235,-0.03,-0.03,-0.01
0.778040,-0.03,-0.03,-0.01
0.780392,-0.03,-0.03,-0.01
0.783181,-0.03,-0.03,-0.01
0.785105,-0.03,-0.02,-0.01
0.787506,-0.03,-0.02,-0.01
0.790685,-0.04,-0.02,-0.01
0.792698,-0.04,-0.02,-0.00
0.795187,-0.03,-0.02,0.00
0.797522,-0.03,-0.03,0.00
0.800701,-0.03,-0.03,0.01
0.803251,-0.03,-0.03,0.01
0.805210,-0.03,-0.03,0.01
0.807374,-0.03,-0.04,0.02
0.810819,-0.02,-0.04,0.02
0.812204,-0.02,-0.04,0.02
0.820617,-0.02,-0.05,0.02
0.821131,-0.01,-0.05,0.02
0.821481,-0.01,-0.05,0.02
0.823567,-0.01,-0.06,0.02
0.825179,-0.00,-0.06,0.02
0.828775,0.00,-0.06,0.02
0.830194,0.01,-0.06,0.02
0.836354,0.01,-0.06,0.02
0.836912,0.01,-0.06,0.02
0.837265,0.01,-0.06,0.01
0.839244,0.01,-0.06,0.01
0.841730,0.01,-0.06,0.01
0.844235,0.01,-0.06,0.00
0.846646,0.01,-0.05,0.00
0.849611,0.02,-0.05,0.00
0.851608,0.01,-0.04,-0.00
0.854304,0.01,-0.04,-0.00
0.856587,0.01,-0.04,-0.00
0.859161,0.01,-0.03,-0.01
0.862145,0.01,-0.03,-0.00
0.864246,0.01,-0.02,-0.01
0.866899,0.01,-0.01,-0.01
0.869530,0.01,-0.01,-0.01
0.871693,0.00,-0.01,-0.01
0.874225,0.00,-0.00,-0.01
0.876387,0.00,0.00,-0.01
0.878811,-0.00,0.00,-0.01
0.883075,-0.00,0.00,-0.01
0.883862,-0.00,0.00,-0.01
0.886479,-0.00,0.00,-0.02
0.889125,-0.00,0.00,-0.02
0.891251,-0.00,0.00,-0.02
0.893744,-0.00,-0.00,-0.03
0.896357,-0.01,-0.00,-0.03
0.900225,-0.01,-0.00,-0.03
0.901188,-0.01,-0.00,-0.03
0.903724,-0.01,-0.00,-0.03
0.906712,-0.01,-0.00,-0.03
0.909036,-0.01,-0.01,-0.04
0.911032,-0.01,-0.01,-0.04
0.913413,-0.01,-0.01,-0.04
0.921107,-0.01,-0.01,-0.03
0.922009,-0.01,-0.01,-0.03
0.922452,-0.01,-0.01,-0.03
0.923347,-0.01,-0.01,-0.03
0.925892,-0.01,-0.02,-0.03
0.928731,-0.01,-0.02,-0.03
0.930962,-0.01,-0.02,-0.03
0.934747,-0.01,-0.02,-0.02
0.935742,-0.01,-0.02,-0.02
0.938330,-0.02,-0.02,-0.02
0.941658,-0.02,-0.03,-0.02
0.943206,-0.02,-0.03,-0.02
0.945587,-0.02,-0.03,-0.02
0.950441,-0.03,-0.04,-0.02
0.951020,-0.03,-0.04,-0.01
0.953174,-0.03,-0.04,-0.01
0.955529,-0.03,-0.04,-0.01
0.958147,-0.03,-0.03,-0.01
0.960415,-0.03,-0.03,-0.01
0.963734,-0.03,-0.02,-0.01
0.967240,-0.02,-0.01,-0.01
0.969080,-0.02,-0.00,-0.01
0.970626,-0.01,0.00,-0.01
0.972827,-0.01,0.01,-0.01
0.975347,-0.01,0.01,-0.01
0.977696,-0.01,0.01,-0.01
0.980328,0.00,0.00,-0.01
0.983590,0.00,-0.00,-0.01
0.985733,0.01,-0.01,-0.01
0.987976,0.01,-0.02,-0.01
0.990403,0.01,-0.02,-0.01
0.992476,0.02,-0.03,-0.01
0.995072,0.02,-0.03,-0.01
1.001244,0.03,-0.03,-0.00
1.001795,0.03,-0.03,-0.00
1.003644,0.03,-0.03,-0.00
1.005044,0.03,-0.03,-0.00
1.010106,0.04,-0.03,-0.01
1.013811,0.04,-0.03,-0.01
1.022999,0.04,-0.03,-0.01
1.023584,0.04,-0.02,-0.01
1.024021,0.04,-0.02,-0.01
1.024430,0.04,-0.02,-0.02
1.024824,0.04,-0.02,-0.02
1.028335,0.05,-0.01,-0.02
1.030496,0.05,-0.01,-0.02
1.030913,0.05,-0.01,-0.02
